pairname,paircode,site_no,site_id
joewright,1,"""06614800""",551
fraser,2,"""09032100""",838
jonespass,3,"""09034900""",335
dolores,5,"""09165000""",586
steamboat,6,"""09238900""",457
crestedbutte,7,"""09112200""",380
taylorriver,8,"""09107000""",680
crystalredstone,9,"""09081600""",618
vail,10,"""09066300""",842
conejos,11,"""08246500""",431
aspen,12,"""09073300""",542
malta,13,"""07083000""",369
