site_no,site_id,pairname,lag0,lag1,lag2,lag3,lag4,lag5
6614800,551,joewright,0.1853394399377778,2.18553728749111,1.5591461868177756,2.2723390291555567,-0.9439418903622245,3.8947697560355556
7083000,369,malta,0.11389265541000036,0.43550276392909043,-0.356882572836364,0.21362042202999937,0.332267712677273,-0.24214557029545447
8246500,431,conejos,0.5309503390224352,3.995361414130769,-0.9151986415775647,3.176445282355129,-3.1261755005416663,-8.830826168235255
9032100,838,fraser,4.651748667196428,2.287647517339287,-4.4351644242625,10.238987473871427,-4.037486117626786,-1.7538133281464299
9034900,335,jonespass,0.2100924907190478,-3.3342974489976207,-1.7445294860095233,6.000355828492856,-0.8233817831095243,2.424353151185714
9066300,842,vail,-1.7317505695645445,7.672286144706366,5.58201044148909,3.8379648866154565,-3.463885126487273,3.414144127853637
9073300,542,aspen,-0.5582152117111105,4.4320965083,4.5557446281,1.52217143492222,4.082985696911111,-0.7209378686333339
9081600,618,crystalredstone,1.5628646478249992,-4.266713066425001,6.524550190062498,-5.206293148720833,6.990364688404164,-2.0800858473583315
9107000,680,taylorriver,-0.647984787057778,1.1933800557999992,0.6106369449977772,1.0187851136244448,1.0401147720911106,0.42663290453777813
9112200,380,crestedbutte,0.8902151463416663,1.6762551576375004,4.0586989275847225,-0.5772502489333343,3.7618889777305573,-0.6825101092458334
9165000,586,dolores,-1.8432290832633342,3.111810344511112,4.22177787153111,7.030389608359999,4.4585555152688885,0.4422694525255554
9238900,457,steamboat,0.6660324846333338,13.330497603733331,-8.880518367755556,0.10272693524444328,4.619913266116667,-16.490222700555552
